Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:2005
cd73e118-64ee-5855-b276-f7cb44fdcf7e,,ACT-RHD:q_allergies,Allergies,,,Question,Coded,,,
1632f8dc-195d-5d67-a52e-6c7a057cb536,,ACT-RHD:q_interventional_recommendation_completed,Interventional Recommendation Completed,,"found via legacy app schema (interventional_recommendations_forms.completed)",Question,Boolean,,,
1c5476e4-ff12-5fbd-b2ad-53f66f9006a0,,ACT-RHD:q_electrocardiogram_result,Electrocardiogram Result,,"the actual ECG findings list from the spec (row 69) -- Phase 1 concept generation collapsed this and the Yes/No gate question into one concept, silently dropping the real findings list; fixed 2026-09-09; single-select matching live legacy app, not checkbox multiselect",Question,Coded,,,
67d65827-eea5-57ac-ae8b-77f91d128063,,ACT-RHD:q_other_electrocardiogram_finding,Other Electrocardiogram Finding,,"free-text field shown when Electrocardiogram Result = Other non-coded, matching legacy app's *Allows free text* behavior on that field",Question,Text,,,
6e8ed53f-15e6-5b00-9ed0-44b11bd2d638,,ACT-RHD:q_indication_inr_monitoring,Indication (INR Monitoring),,"found via legacy app schema (inr_monitoring_forms.indication) -- was never created; fixed 2026-09-09",Question,Text,,,
a85d4e63-500f-5af9-8ebd-9e1db5ddc3ed,,ACT-RHD:q_date_of_electrocardiogram,Date of Electrocardiogram,,,Question,Date,,,
89c3feab-8f0d-5f6c-a9c2-d511c6b0cce7,,ACT-RHD:q_left_ventricular_size,Left Ventricular Size,,"not in original spec workbook -- found via legacy app schema; changed Text to Coded (Normal/Mildly/Moderately/Severely Dilated) matching live legacy app; fixed 2026-09-10",Question,Coded,1115AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; Mildly Dilated; Moderately Dilated; Severely Dilated,,
8d6e9ea5-aa27-57d6-bf43-198aca63a951,true,ACT-RHD:q_is_patient_suitable_for_mitral_valve_repair,Is patient suitable for mitral valve repair,,"fabricated -- confirmed via live legacy app inspection (2026-09-10) this field does not exist; only Is patient suitable for BAV? + one Reasoning field exist",Question,Coded,Yes; No,,
53c3d6ce-6468-5533-848a-1c1e21057b64,true,ACT-RHD:q_reasoning_mitral_valve_repair,Reasoning (mitral valve repair),,"fabricated -- confirmed via live legacy app inspection (2026-09-10) this field does not exist; only one generic Reasoning field exists, paired with Is patient suitable for BAV?",Question,Text,,,
ba4b8a87-2ce8-559e-9a30-45504a9b6c1f,,ACT-RHD:q_next_consultation_time_amount,Next Consultation Time Amount,,,Question,Numeric,,,
0bbc510f-1e95-5c74-bbe3-8896907fd6c1,,ACT-RHD:q_aortic_regurgitation,Aortic Regurgitation,,,Question,Coded,1107AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1498AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1499AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1500AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
